pairID:TEXT,Actual,Predicted
116738,0,0
260101,1,1
116742,0,0
145415,1,0
223244,0,0
82606,0,0
141336,1,1
38939,0,0
26652,0,0
241694,0,0
98335,0,0
81956,0,0
157739,0,0
131119,0,0
202802,0,0
174133,0,0
223293,0,0
141377,1,1
168008,0,0
104521,0,0
186445,0,0
59478,0,0
223319,0,0
223320,0,0
14425,0,0
245852,0,0
225377,0,0
77926,0,0
131175,0,0
153704,0,0
163946,0,0
47215,0,0
192625,0,1
206962,0,0
152595,0,0
22647,0,0
166012,0,0
73854,0,0
84104,0,0
127116,0,0
196632,0,0
98454,0,0
73882,0,0
196764,0,0
139426,0,0
164005,0,0
28844,0,0
250039,0,0
157882,0,0
80061,0,0
192705,0,0
172230,0,0
75977,0,0
100554,0,0
200907,0,0
186577,0,0
221396,0,0
139481,0,0
184538,0,0
24800,0,0
202977,0,0
166120,0,0
159978,0,0
155885,0,0
139506,0,0
256251,0,0
243755,0,0
184583,0,0
211215,0,0
24850,0,0
8474,0,0
180511,0,0
244011,0,0
242397,0,0
203057,0,0
172342,0,0
40329,0,0
35129,0,0
9952,0,0
133443,0,0
72008,0,0
164169,0,0
225613,0,0
47439,0,0
186706,0,0
229718,0,0
170327,0,0
108888,0,0
41306,0,0
182622,0,0
33123,0,0
242720,0,0
160106,0,0
225643,0,0
143725,0,0
201071,0,0
211325,0,0
125310,0,0
47487,0,0
229770,0,0
166284,1,1
127373,0,0
219537,0,0
246168,0,0
20890,1,1
106909,0,0
100771,0,0
203178,0,0
166338,0,0
145860,0,0
209350,0,0
12744,0,0
39372,0,0
215502,0,0
78291,0,0
121300,0,0
35287,1,0
90599,0,0
2538,0,0
149996,0,0
182765,0,0
78322,0,0
260597,0,0
188922,0,0
94715,0,0
98816,0,0
203270,0,0
25095,0,0
131594,0,0
90642,0,0
170521,0,0
27163,0,0
133663,0,0
178720,0,0
191021,0,0
10798,0,0
90674,0,0
12854,0,0
37432,1,1
252474,0,0
111166,1,1
154180,1,1
107078,0,0
55879,1,0
66127,0,0
4688,0,0
45655,0,0
229979,1,1
197212,0,0
170590,0,0
43615,0,0
68196,0,0
191084,0,0
123503,0,0
174711,0,0
105082,0,0
201339,0,0
55941,1,1
203401,0,0
189069,0,0
250513,0,0
135829,1,1
200858,0,0
128793,0,0
160411,0,0
17057,0,0
111271,1,1
156334,0,0
248497,0,0
191165,0,0
62142,0,0
168639,0,0
121540,0,0
112759,0,0
199382,0,0
8924,0,0
203485,0,0
217893,0,0
88805,1,1
27366,0,0
